city,category,goal_amount,raised_amount,fulfillment_ratio,donation_count,avg_donation_amount,avg_days_since_last_donation,donor_retention_rate,poverty_index,need_gap,is_hotspot
Nagpur,Medical,167161.96,56151.19,0.3359,83,676.52,27.3,0.4433,0.38,111010.78,0
Mumbai,Disaster Relief,90139.76,13673.64,0.1517,485,28.19,10.5,0.5031,0.31,76466.12,0
Mumbai,Food & Hunger,126214.1,7682.85,0.0609,10,768.28,19.1,0.4871,0.31,118531.25,1
Yavatmal,Medical,60999.07,6134.18,0.1006,111,55.26,21.8,0.3594,0.72,54864.89,1
Aurangabad,Disaster Relief,1382363.86,326816.05,0.2364,103,3172.97,23.3,0.3363,0.51,1055547.81,1
Nagpur,Education,170812.43,57269.28,0.3353,35,1636.27,22.3,0.4566,0.38,113543.15,0
Mumbai,Medical,769908.32,280135.35,0.3639,99,2829.65,19.6,0.499,0.31,489772.97,0
Pune,Medical,646702.66,223030.85,0.3449,18,12390.6,18.1,0.5324,0.28,423671.81,0
Kolhapur,Medical,742883.18,242909.99,0.327,153,1587.65,20.1,0.3792,0.44,499973.19,0
Aurangabad,Medical,590444.79,139959.61,0.237,116,1206.55,19.7,0.4462,0.51,450485.18,1
Solapur,Medical,584340.38,97949.38,0.1676,12,8162.45,14.7,0.3493,0.55,486391.0,1
Mumbai,Food & Hunger,130917.98,37001.53,0.2826,41,902.48,21.5,0.477,0.31,93916.45,1
Nagpur,Disaster Relief,445969.39,93145.3,0.2089,353,263.87,21.3,0.4627,0.38,352824.09,1
Mumbai,Food & Hunger,162697.69,53320.99,0.3277,26,2050.81,15.1,0.5244,0.31,109376.71,0
Jalgaon,Disaster Relief,1818315.46,403654.57,0.222,20,20182.73,9.2,0.3365,0.49,1414660.89,1
Nashik,Education,78300.73,21178.32,0.2705,26,814.55,21.2,0.4237,0.42,57122.4,0
Nashik,Medical,337973.03,94889.76,0.2808,48,1976.87,17.4,0.4863,0.42,243083.27,1
Wardha,Disaster Relief,1238650.45,216019.34,0.1744,261,827.66,22.7,0.3591,0.64,1022631.11,1
Nashik,Food & Hunger,115049.69,17371.33,0.151,47,369.6,18.9,0.4684,0.42,97678.35,1
Yavatmal,Education,167695.78,30600.2,0.1825,22,1390.92,22.7,0.3582,0.72,137095.59,1
Mumbai,Food & Hunger,71932.19,22547.16,0.3135,98,230.07,6.7,0.44,0.31,49385.03,0
Nagpur,Disaster Relief,1876623.48,331046.32,0.1764,86,3849.38,10.1,0.4319,0.38,1545577.15,0
Latur,Disaster Relief,495672.54,4956.73,0.01,498,9.95,26.1,0.3351,0.67,490715.82,1
Mumbai,Medical,295637.42,108241.05,0.3661,132,820.01,19.2,0.5369,0.31,187396.37,0
Mumbai,Education,205661.65,51007.33,0.248,141,361.75,23.6,0.4689,0.31,154654.32,1
Wardha,Food & Hunger,145314.05,1453.14,0.01,32,45.41,33.5,0.303,0.64,143860.91,1
Latur,Medical,263747.11,61384.3,0.2327,116,529.17,49.6,0.359,0.67,202362.82,1
Nashik,Food & Hunger,129916.34,11970.02,0.0921,96,124.69,39.5,0.4367,0.42,117946.32,1
Mumbai,Medical,411874.87,183032.21,0.4444,12,15252.68,17.5,0.4754,0.31,228842.66,0
Jalgaon,Food & Hunger,12936.76,2577.62,0.1992,111,23.22,23.5,0.4004,0.49,10359.14,1
Latur,Disaster Relief,646109.19,21483.21,0.0333,252,85.25,18.6,0.2649,0.67,624625.97,1
Akola,Education,42695.3,7098.71,0.1663,96,73.94,30.3,0.3786,0.56,35596.59,1
Solapur,Disaster Relief,1432376.44,14323.76,0.01,221,64.81,25.2,0.4128,0.55,1418052.68,1
Mumbai,Food & Hunger,161676.08,22817.01,0.1411,79,288.82,21.9,0.5086,0.31,138859.07,1
Pune,Food & Hunger,119984.33,50293.09,0.4192,42,1197.45,8.0,0.4955,0.28,69691.24,0
Mumbai,Disaster Relief,752371.75,178517.19,0.2373,80,2231.46,26.8,0.4824,0.31,573854.56,1
Thane,Food & Hunger,169984.38,37063.1,0.218,85,436.04,4.6,0.4626,0.33,132921.28,0
Kolhapur,Education,22224.96,6780.89,0.3051,144,47.09,22.2,0.4673,0.44,15444.07,0
Mumbai,Medical,367822.98,110513.0,0.3005,37,2986.84,12.7,0.4852,0.31,257309.98,0
